iter	RMSE
0	47.28539447
1	46.10333167
2	44.95082515
3	43.82713565
4	42.73154251
5	41.663343
6	40.62185216
7	39.60640208
8	38.6163417
9	37.65103608
10	36.70986644
11	35.79222937
12	34.89753648
13	34.02521419
14	33.17470326
15	32.3454582
16	31.53694783
17	30.74865357
18	29.98007019
19	29.23070494
20	28.50007738
21	27.78771892
22	27.09317338
23	26.41599541
24	25.7557462
25	25.11201161
26	24.48437421
27	23.87243224
28	23.27579312
29	22.69407437
30	22.12690316
31	21.57391584
32	21.03475799
33	20.50908396
34	19.99655665
35	19.49684745
36	19.00963657
37	18.53461103
38	18.07146696
39	17.61990717
40	17.17964215
41	16.75038814
42	16.33187314
43	15.92382728
44	15.525989
45	15.13810326
46	14.75992145
47	14.39120106
48	14.03170584
49	13.68120526
50	13.33947473
51	13.00629501
52	12.68145278
53	12.36473967
54	12.05595267
55	11.75489383
56	11.46137009
57	11.17519335
58	10.89617999
59	10.62415164
60	10.35893277
61	10.10035506
62	9.848251889
63	9.602461709
64	9.362825935
65	9.129192833
66	8.90141182
67	8.679336848
68	8.462825341
69	8.251738876
70	8.045941954
71	7.845302654
72	7.649692365
73	7.458984841
74	7.273059302
75	7.091796024
76	6.915078637
77	6.742794128
78	6.574831853
79	6.411084068
80	6.251427546
81	6.095796108
82	5.944072309
83	5.796158689
84	5.651960513
85	5.511384072
86	5.374341528
87	5.240744092
88	5.110505965
89	4.98354371
90	4.85977588
91	4.739123164
92	4.62150818
93	4.506855314
94	4.395090112
95	4.286143082
96	4.1799437
97	4.076423501
98	3.97551619
99	3.877156965
100	3.781282825
101	3.687832304
102	3.596745454
103	3.507963714
104	3.421430399
105	3.337089809
106	3.254887686
107	3.174771727
108	3.096689996
109	3.020593127
110	2.94643198
111	2.874158699
112	2.803727174
113	2.735092057
114	2.668209671
115	2.603036592
116	2.539531396
117	2.477652794
118	2.417361495
119	2.358617814
120	2.301385022
121	2.245626585
122	2.191306309
123	2.138389122
124	2.086840967
125	2.036628729
126	1.987719721
127	1.940083076
128	1.893687579
129	1.848502896
130	1.804498577
131	1.761650649
132	1.719928475
133	1.679304906
134	1.63975536
135	1.601253067
136	1.56377263
137	1.527290906
138	1.491782789
139	1.457226605
140	1.42359915
141	1.390878456
142	1.359043135
143	1.328072236
144	1.29794522
145	1.268642981
146	1.240145705
147	1.212434521
148	1.185491309
149	1.159296738
150	1.133835701
151	1.10909013
152	1.085043234
153	1.061678786
154	1.038844444
155	1.016794545
156	0.9953807756
157	0.9745880912
158	0.9544019268
159	0.9348085263
160	0.9157940334
161	0.8973414918
162	0.8794444383
163	0.858097281
164	0.8411863843
165	0.8247890579
166	0.8088931048
167	0.7934869167
168	0.7785588006
169	0.7640974098
170	0.7500916035
171	0.7365304279
172	0.7234030939
173	0.710699209
174	0.6984040142
175	0.6865160004
176	0.6750208697
177	0.6639086773
178	0.6531657247
179	0.6427908988
180	0.6327706461
181	0.6230915341
182	0.613748758
183	0.6047356263
184	0.5960390266
185	0.587656268
186	0.5795750152
187	0.5717868863
188	0.5642836408
189	0.5570571768
190	0.5500995014
191	0.5434027757
192	0.5369592783
193	0.5307613394
194	0.5248015167
195	0.5190725757
196	0.5135673003
197	0.5082741934
198	0.5031949559
199	0.4983184729
