iter	Passed	Remaining
0	67	13525
1	75	7515
2	83	5493
3	91	4470
4	98	3849
5	106	3431
6	113	3138
7	121	2925
8	129	2748
9	137	2614
10	145	2492
11	152	2392
12	160	2310
13	168	2234
14	175	2166
15	182	2104
16	190	2048
17	197	2000
18	204	1952
19	212	1909
20	219	1869
21	226	1831
22	233	1796
23	240	1762
24	247	1733
25	254	1704
26	261	1678
27	269	1656
28	276	1632
29	284	1609
30	291	1586
31	297	1564
32	305	1544
33	312	1523
34	319	1504
35	326	1487
36	333	1469
37	340	1451
38	347	1435
39	354	1418
40	361	1401
41	369	1389
42	377	1377
43	385	1366
44	393	1354
45	401	1344
46	408	1329
47	415	1315
48	422	1302
49	430	1290
50	437	1278
51	445	1267
52	452	1255
53	459	1242
54	467	1231
55	474	1219
56	481	1207
57	488	1196
58	495	1184
59	502	1172
60	509	1161
61	516	1150
62	523	1139
63	531	1128
64	538	1119
65	546	1108
66	553	1098
67	560	1088
68	567	1077
69	574	1067
70	582	1057
71	589	1048
72	596	1037
73	604	1028
74	611	1019
75	618	1009
76	625	999
77	633	990
78	640	980
79	647	971
80	655	962
81	662	952
82	669	943
83	676	934
84	683	924
85	690	915
86	698	907
87	706	898
88	713	889
89	720	881
90	727	871
91	735	863
92	742	854
93	749	845
94	757	836
95	764	828
96	772	820
97	779	811
98	786	802
99	793	793
100	802	786
101	810	778
102	817	770
103	824	761
104	832	753
105	839	744
106	846	736
107	853	727
108	862	720
109	870	712
110	878	704
111	887	697
112	895	689
113	902	680
114	909	672
115	917	664
116	924	655
117	931	647
118	938	638
119	946	630
120	953	622
121	960	614
122	968	606
123	975	598
124	983	590
125	990	581
126	998	573
127	1005	565
128	1012	557
129	1020	549
130	1028	541
131	1035	533
132	1042	525
133	1049	516
134	1056	508
135	1063	500
136	1070	492
137	1077	484
138	1085	476
139	1093	468
140	1100	460
141	1107	452
142	1114	444
143	1123	436
144	1131	429
145	1138	421
146	1146	413
147	1154	405
148	1163	398
149	1172	390
150	1180	383
151	1190	375
152	1199	368
153	1207	360
154	1216	353
155	1224	345
156	1233	337
157	1241	330
158	1249	322
159	1258	314
160	1268	307
161	1276	299
162	1283	291
163	1291	283
164	1299	275
165	1307	267
166	1317	260
167	1326	252
168	1335	245
169	1344	237
170	1352	229
171	1361	221
172	1369	213
173	1376	205
174	1384	197
175	1392	189
176	1401	182
177	1409	174
178	1418	166
179	1427	158
180	1434	150
181	1443	142
182	1452	134
183	1459	126
184	1467	119
185	1475	111
186	1483	103
187	1490	95
188	1497	87
189	1504	79
190	1511	71
191	1519	63
192	1526	55
193	1534	47
194	1541	39
195	1548	31
196	1557	23
197	1564	15
198	1571	7
199	1580	0
