Model,ROC_AUC,PR_AUC,Precision_at_90_Recall
Extra Trees,0.772802439074538,0.07899630549799316,0.001
Random Forest,0.7611710142543698,0.08073108009764714,0.001
XGBoost,0.7117227726262054,0.08054289035287297,0.001
CatBoost,0.6486252302052828,0.15530734545005487,0.001
Decision Tree,0.6122168144582136,0.08237319529807767,0.001
Ensemble (Top 3),0.6116396490599401,0.084265295951411,0.000
Elastic Net,0.6065641182293212,0.0862885413871823,0.000
Gradient Boosting,0.5832293064909813,0.08159525445840443,0.000
Lasso Regression,0.5252704453132113,0.08223780721020758,0.000
AdaBoost,0.5126036474503388,0.07740503254532273,0.000
Linear Regression,0.5050623133024141,0.07774795596549933,0.000
Ridge Regression,0.4408133773134346,0.07740704703827038,0.000
