Model,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2
Lasso Regression,4.38372654355288,0.166680488054696,0.9918295995207349,1114.2607448387153,5.421318394564389,0.5009860189839505,128.31796123316775,0.9234933444170457,0.9649760103085113
Elastic Net,13.55998753317428,1.1660066734305294,0.9218237174907962,1220.969726298469,6.830728549226373,0.4008316784640663,68.85334132846576,1.2901606808386388,0.9899158161213047
Ridge Regression,1.1746857304565899,0.0484505152677749,0.9994133219759744,1261.205220973568,5.994692221264563,0.36069136263596335,374.3483650015334,2.364838597632542,0.7019133020347286
Linear Regression,0.40206594223239034,0.006362539968644994,0.9999312692618637,1317.0135971498917,6.150386792815008,0.30286069416355055,271.3691267332928,1.680313051927052,0.8433567846707343
Decision Tree,0.10470087935776896,0.0007583264597938601,0.9999953392362156,1478.1544198563602,6.834904401803212,0.12182986226923775,553.0685693997058,3.419124744325844,0.3493481457720814
Gradient Boosting,0.09716454494805807,0.0012939920986253044,0.9999959860489093,1478.1605617079374,6.857886520121212,0.12182256451769247,553.0720835093249,3.420764604294477,0.3493398774692704
AdaBoost,5.015181255167968,2.7738715402660246,0.9893062580134283,1478.1620571997462,9.327870054944254,0.12182078756888215,553.0928349919967,6.324659747772415,0.34929105050452647
Extra Trees,0.1114497768496237,0.0009031637154366765,0.9999947190161332,1478.1667577610722,6.870845849134944,0.12181520233310017,553.0685552668401,3.419621449340925,0.34934817902501103
XGBoost,0.09509227539402863,0.001715724221812597,0.9999961554376097,1478.1783423218544,6.838290635377893,0.12180143741114113,553.1005065156581,3.420323327842855,0.3492729994165118
CatBoost,0.49831818519926485,0.005421285122454199,0.9998944228567035,1492.0328796359954,6.922606746176735,0.10526208833483641,598.8246836154657,3.708803909571011,0.2372361497370622
Random Forest,15.655040613248584,0.043488464146362864,0.8958006927887646,1509.9444029634722,7.056158748904565,0.08365088365401929,595.4965326358513,3.681328783157871,0.24569117445882782
LightGBM,26.706163215712685,0.23778637751146958,0.6967649266953622,1531.2074819178279,7.2929224850304015,0.05766106107765301,623.9398098066725,3.865807197522505,0.17191273204853907
