Model,ROC_AUC,PR_AUC
Extra Trees,0.772802439074538,0.07899630549799316
Random Forest,0.7611710142543698,0.08073108009764714
XGBoost,0.7117227726262054,0.08054289035287297
CatBoost,0.6486252302052828,0.15530734545005487
LightGBM,0.6176198462654608,0.07898181289693454
Decision Tree,0.6122168144582136,0.08237319529807767
Elastic Net,0.6065641182293212,0.0862885413871823
Gradient Boosting,0.5832293064909813,0.08159525445840443
Lasso Regression,0.5252704453132113,0.08223780721020758
AdaBoost,0.5126036474503388,0.07740503254532273
Linear Regression,0.5050623133024141,0.07774795596549933
Ridge Regression,0.4408133773134346,0.07740704703827038
